,French,English
0,partie,part
1,histoire,history
2,police,police
3,aide,help
4,frère,brother
5,laisser,let
6,car,because
7,mettre,to put
8,laisse,leash
9,eux,them
10,ville,city
11,chaque,each
12,parlé,speak
13,arrivé,come
14,devrait,should
15,bébé,baby
16,longtemps,long time
17,heures,hours
18,vont,will
19,pendant,while
20,revoir,meet again
21,aucune,any
22,place,square
23,parle,speak
24,compris,understood
25,savais,knew
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
52,matin,morning
53,enfant,child
54,point,point
55,venu,came
56,pardon,sorry
57,venez,come
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
67,aujourd'hui,today
68,mari,husband
69,cause,cause
70,enfin,finally
71,espère,hope
72,eau,water
73,attendez,Wait
74,parti,left
75,nouvelle,new
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,plutôt,rather
87,aura,will have
88,filles,girls
89,jouer,to play
90,bureau,office
